#,Category,Feature / Tool,What It Does,API Provider,API Endpoint,HTTP Method,Used By (File),Status: Working,Status: Not Working,Notes
1,LLM Provider,Chat completions,"Runs the agent's reasoning + tool-use loop for every user message.",Google Gemini,https://generativelanguage.googleapis.com/v1beta/models/{model}:generateContent,POST,agent.js,[ ],[ ],"Target model: gemini-2.5-pro (quality) or gemini-2.5-flash (cheap/fast). Replaces Anthropic — API key in .env as GEMINI_API_KEY."
2,Authentication,Verify employee on login,Looks up an employee by email to confirm they exist before issuing a session token.,MonkeyMan Backend,https://server.monkeymans.com/api/employee/email/{email},GET,server.js (/auth/login),[ ],[ ],Called first during login. 404/null → 'No employee found'.
3,Authentication,Fetch role + status on login,Gets the employee's role and Active/Inactive status so the session can enforce permissions later.,MonkeyMan Backend,https://server.monkeymans.com/api/employee/email/{email}/role,GET,server.js (/auth/login),[ ],[ ],Stamps role into the server-side session — no further role API calls needed per chat turn.
4,Employees,List all employees,Returns every employee — used to resolve a name → email.,MonkeyMan Backend,https://server.monkeymans.com/api/employee/all,GET,tools.js (Retrieve_All_Employee_Details),[ ],[ ],
5,Employees,Get one employee profile,Returns a single employee record including the Mongo _id (needed for task creation).,MonkeyMan Backend,https://server.monkeymans.com/api/employee/email/{email},GET,tools.js (Retrieve_Specific_Employee_Details),[ ],[ ],
6,Employees,Get role + permissions,Returns role / status / permissions for an email (agent-triggered lookup).,MonkeyMan Backend,https://server.monkeymans.com/api/employee/email/{email}/role,GET,tools.js (Get_user_role_and_permissions),[ ],[ ],"Largely redundant post-login — role already lives in the session."
7,Tasks,Today's tasks,Returns every task created today (org-wide).,MonkeyMan Backend,https://server.monkeymans.com/api/daily-task,GET,tools.js (Get_today_task),[ ],[ ],
8,Tasks,Tasks for one employee,Lists tasks assigned to a specific email.,MonkeyMan Backend,https://server.monkeymans.com/api/daily-task/email/{email},GET,tools.js (Get_task_by_email),[ ],[ ],
9,Tasks,Tasks by creation date,Filters tasks by createdAt (YYYY-MM-DD).,MonkeyMan Backend,https://server.monkeymans.com/api/daily-task?createdAt={YYYY-MM-DD},GET,tools.js (Get_task_by_create_date),[ ],[ ],
10,Tasks,Create daily task,Creates a new task. assignedBy + assignedTo must be Mongo _ids.,MonkeyMan Backend,https://server.monkeymans.com/api/daily-task,POST,tools.js (Daily_task_create),[ ],[ ],"WRITE action — role gate enforced from session (Manager / Admin / DepartmentHead)."
11,Projects,Projects by employee,Returns projects an employee is associated with.,MonkeyMan Backend,https://server.monkeymans.com/api/projects/email/{email},GET,tools.js (projects_tool),[ ],[ ],
